start	end	text
0	1000	Hallo
1000	6000	Today I am going to show you how to pronounce German car names
6000	10000	I have heard a lot of people pronounce the car names incorrectly
10000	12000	And it makes me very angry
12000	16000	So for this I am going to teach you how to pronounce the car names correctly now
16000	18000	But first I must eat a Lebkuchen
18000	21000	So the first wrong car name so many people say
21000	22000	Audi
22000	24000	When it's actually pronounced Audi
24000	25000	Say it with me
25000	26000	Audi
26000	27000	Very easy
27000	28000	Next
28000	29000	BMW
29000	31000	In German you say BMW
31000	34000	It stands for Bayerische Motorwerke
34000	35000	Yeah?
35000	36000	It is not a funny term
36000	39000	It's not to make go and fun laugh
39000	40000	Okay?
40000	42000	In English this means
42000	45000	Bayerische Motorwerks
45000	47000	Very accurate name
47000	48000	More Lebkuchen
48000	50000	It's delicious I am enjoying it
50000	51000	Next
51000	53000	Mercedes Benz
53000	54000	Ah this makes me sick
54000	56000	I am going to have to open a beer
56000	63000	The name is pronounced Mercedes Benz
63000	66000	Now we get to one that really makes me very angry
66000	68000	I hear the name Porsche a lot
68000	69000	I will say this only once
69000	71000	In Germany we say Porsche
71000	72000	Good
72000	73000	I don't get this wrong again
73000	79000	Here is a toast to Porsche
79000	85000	Fun fact this is not beer this is pipiwasser
85000	86000	Because it is Swiss
86000	90000	Now we have one for all the preteen 16 year old girls
90000	92000	You say Opel
92000	94000	We say Opel
94000	96000	Like jeder Popel fährt einen Opel
96000	99000	This means every bugger drives an Opel
99000	101000	I am going to get to the last one
101000	102000	You say VW
102000	104000	In Germany we say VW
104000	105000	Get it right
105000	107000	This stands for Volkswagen
107000	109000	And it means the car of the people
109000	110000	Hello
110000	112000	Here is a bonus clip for you
112000	115000	I have seen lots of people have difficulty saying this name
115000	116000	We got the Koenigsegg
116000	118000	Swedish Koenigseggs
118000	119000	Koenigseggs
119000	122000	It is pronounced Koenigsegg
122000	123000	You are welcome
123000	124000	Good night
124000	125000	Good night
